"C04_PERIODO","INS_COD","C04_APC","C04_PEC","C04_IRS"
201610,"SV",51703412440.2,56935942433,110.12
201609,"PU",8688358500018.7,1068242833086,12.3
201609,"PNQS",3279271356264.3,1081457731223,32.98
201609,"PNQT",2477974956388,486248566670,19.62
201609,"PNQU",1751880621159.5,260867205067,14.89
201609,"PNQV",154169144701.9,232181212256,150.6
201609,"PNQW",3036851055951.1,861342318394,28.36
201609,"PNRN",242420300313.2,220115412829,90.8
201605,"PNQS",3390773973271.4,1055829096850,31.14
201605,"PNQT",2458632807571.2,462519847698,18.81
201605,"PNQU",1876694279378.2,253774567528,13.52
201605,"PNQV",108215473856.7,102358485761,94.59
201605,"PNQW",3096748559654.1,784480078198,25.33
201605,"PNRN",294025413617.3,271349018652,92.29
201605,"PNTQ",5024125914989.2,1068163299803,21.26
201609,"PNTQ",4840969302909,1151374019963,23.78
201610,"ST",12103600171.4,20981312072,173.35
201610,"TR",1559187250335.3,239621360263,15.37
201604,"TP",4776919963012.3,611800170162,12.81
201604,"TV",2335490810159,406938433690,17.42
201604,"OR",27345989831917.6,3484949140938,12.74
201604,"PS",21145276573569.4,2455207542279,11.61
201604,"ST",13986728954.4,21146906846,151.19
201604,"SV",55113680841.7,57312990770,103.99
201604,"UN",54450324345.9,44203337469,81.18
201604,"QN",40230624972.5,23953316876,59.54
201604,"UP",48788228626,73147516511,149.93
201604,"TR",1478152729930.6,221177771312,14.96
201604,"PP",963657070431,139405010169,14.47
201604,"SOU",9748532503335.6,1166389982514,11.96
201604,"SR",271068802291.6,212559774889,78.42
201604,"RO",4399409936375.6,616080829723,14
201604,"TU",870140108946.1,119484392666,13.73
201604,"TS",38203549679.4,119022142199,311.55
201604,"RR",428601353518,87379255639,20.39
201604,"PW",23570437391434.7,3178174101648,13.48
201604,"SP",25153398560382.5,3282950091373,13.05
201604,"WRN",7002174537551.2,862525042779,12.32
201604,"PU",8762621664694.1,1030621936259,11.76
201604,"WOQ",138447842817486,18730207303967,13.53
201604,"WTQ",87391886412975,11563579429203,13.23
201604,"WUQ",72201232978080.4,9621835417043,13.33
201604,"WVQ",138067442980426,18415234314586,13.34
201604,"WWQ",429188065686.2,388120505892,90.43
201604,"ONOO",159593119391055,21185414846246,13.27
201604,"ONOP",159593119391055,21185414846246,13.27
201604,"ONWQ",123985649529143,15829147986739,12.77
201604,"OONQ",1040590933253.1,191829086250,18.43
201604,"PNOQ",96198128563220.5,12288002271860,12.77
201604,"PNOR",102840372955573,13373940444460,13
201604,"PNOS",18511154168029.7,2197011918773,11.87
201604,"PNPQ",21145276573569.4,2455207542279,11.61
201604,"TT",1040590933253.1,191829086250,18.43
201604,"TW",281510848545.8,213814005563,75.95
201604,"PNQQ",17096315693883,3159254940734,18.48
201604,"PNQR",9176329899387.9,1227880999885,13.38
201604,"PNQS",3403663592819.8,1112861128491,32.7
201604,"PNQT",2573193987529.6,457210195031,17.77
201604,"PNQU",1833797179377.1,258889402835,14.12
201604,"PNQV",109331034768.6,102413214492,93.67
201604,"PNQW",3094391240848.8,781279211403,25.25
201604,"PNRN",309272351971,331581917088,107.21
201604,"PNTQ",4988731226368.5,1069434312219,21.44
201605,"SV",53819943863.4,57311399350,106.49
201604,"WPW",3447668895740.6,18835064726,0.55
201605,"ST",14663061103.6,21166895763,144.36
201605,"UN",44074153978.4,43823591268,99.43
201605,"TW",196359256683.5,213690969148,108.83
201604,"SN",26781008878928.3,3427867110501,12.8
201605,"TU",886386281014.2,113927739287,12.85
201605,"UP",57532397899.8,72449831684,125.93
201605,"TV",2399108122816,410663843492,17.12
201605,"SOU",9717853974652.4,1171943992921,12.06
201605,"PP",990307998364,139846828241,14.12
201605,"RO",4438652657538.5,619469403794,13.96
201605,"PU",8679701309380.5,1040674674637,11.99
201605,"PS",20916679264239,2461819833567,11.77
201605,"OR",26739025578729.8,3500877429863,13.09
201605,"WRN",6949735809310,977368848698,14.06
201605,"SN",26844934448603.6,3454320974355,12.87
201605,"SR",261703784336.7,214846528009,82.1
201605,"SP",25067279879026.1,3288684618289,13.12
201605,"PW",23825463300912.7,3204822781143,13.45
201605,"RR",443748782254.8,87675433874,19.76
201605,"TT",958356446128.9,194251244547,20.27
201605,"TS",32321629280.6,56502490643,174.81
201606,"SV",45678963372.2,57313732053,125.47
201605,"TR",1456202207463.9,224445011883,15.41
201606,"UN",40506531136.5,43382103575,107.1
201606,"TU",835758481388.2,113949496944,13.63
201605,"QN",39732468889.7,23880190648,60.1
201606,"TR",1468903480567.4,226782907325,15.44
201606,"QN",37923633273.5,23986085443,63.25
201606,"TV",2394738158331.1,417584554732,17.44
201606,"UP",49537281281.2,72640348735,146.64
201606,"OR",26523268300996.5,3545496814926,13.37
201606,"TW",109697229173.4,212887618816,194.07
201606,"SOU",9655004732637.7,1172028231120,12.14
201606,"PP",953701255392.3,140752256986,14.76
201606,"RR",440057674126.5,88297966482,20.07
201606,"RO",4511677241101.2,622833848420,13.8
201606,"TP",4798993852563.4,612877942778,12.77
201606,"PS",21518865732962.4,2464162845115,11.45
201606,"SR",256233056216.9,218385337662,85.23
201606,"TS",864260589.4,58964712632,6822.56
201606,"SN",26876726963075.1,3486456514355,12.97
201606,"SP",24885151418433.9,3292839581423,13.23
201606,"TT",963509352337.9,198471342571,20.6
201606,"WOQ",137449260332721,18891931355174,13.74
201606,"PW",23824346767717.6,3221435183020,13.52
201606,"WTQ",87108207902279.7,11706667418264,13.44
201606,"WUQ",71859918163403.5,9649426782025,13.43
201606,"WVQ",137096153283251,18571223085744,13.55
201606,"WWQ",402644330750.8,393348618165,97.69
201606,"ONOO",158997094507344,21487793463232,13.51
201606,"ONOP",158997094507344,21487793463232,13.51
201606,"ONWQ",123628359183186,16010390938839,12.95
201606,"OONQ",963509352337.9,198471342571,20.6
201606,"PNOQ",95643057066828.8,12468958404325,13.04
201606,"PNOR",102109493450223,13546228093724,13.27
201606,"PNOS",18418715035039.6,2215569892024,12.03
201605,"TP",4809884701162.8,614415908523,12.77
201605,"WOQ",137957112384084,18769691781362,13.61
201605,"WTQ",86774113688017.5,11628126845469,13.4
201605,"WUQ",72099677960305.4,9603384769460,13.32
201605,"WVQ",137587193125891,18452486767592,13.41
201605,"WWQ",427451656093.2,389654845454,91.16
201605,"ONOO",158873791648323,21231511614929,13.36
201605,"ONOP",158873791648323,21231511614929,13.36
201605,"ONWQ",123393382471511,15910525637217,12.89
201605,"OONQ",958356446128.9,194251244547,20.27
201605,"PNOQ",95806978612279,12372639852919,12.91
201605,"PNOR",102476703207272,13448705803650,13.12
201605,"PNOS",18397555284032.9,2212618667558,12.03
201605,"PNPQ",20916679264239,2461819833567,11.77
201605,"PNQQ",17082853892778.8,3108367310154,18.2
201606,"PU",8763710302401.9,1043541660904,11.91
201605,"PNQR",9248537358701.3,1233885312317,13.34
201606,"ST",13271396607,21023114272,158.41
