"INS_COD","C18_PERIODO","C18_DIA","C18_ACTIVO_CIR","C18_COD_IFI_ACREED","C18_PZO_RES_VENC","C18_MON_PAGO","C18_CTAS_CTES","C18_OT_OBLIG_VISTA","C18_OPE_LIQ_CURSO","C18_CONTR_REC_PTMOS","C18_DEP_CAP","C18_CONTR_DER_FIN","C18_OBLIG_BCOS","C18_MTO_GAR"
"OR",201604,30,30026721552819,"PP",1,1,662550536,0,1537104400,0,0,0,0,0
"OR",201604,30,30026721552819,"PP",1,3,0,0,2371015500,0,0,0,0,0
"OR",201604,30,30026721552819,"PS",1,1,0,163739703,1054977957,0,0,0,0,0
"OR",201604,30,30026721552819,"PS",1,2,0,1083025180,0,0,0,0,0,0
"OR",201604,30,30026721552819,"PS",1,3,0,0,34416049500,0,0,0,0,0
"OR",201604,30,30026721552819,"PS",2,1,0,0,0,0,92570986667,142981508,0,0
"OR",201604,30,30026721552819,"PS",2,2,0,0,0,0,0,114452745,0,0
"OR",201604,30,30026721552819,"PS",2,3,0,0,0,0,0,44266569,0,0
"OR",201604,30,30026721552819,"PS",3,1,0,0,0,0,0,1125160543,0,0
"OR",201604,30,30026721552819,"PS",3,2,0,0,0,0,0,308541318,0,0
"OR",201604,30,30026721552819,"PU",1,1,3284000,0,14186647406,0,0,0,0,0
"OR",201604,30,30026721552819,"PU",1,3,0,0,3916468500,0,0,0,0,0
"OR",201604,30,30026721552819,"PU",2,1,0,0,0,0,0,458461566,0,0
"OR",201604,30,30026721552819,"PU",2,2,0,0,0,0,0,947285105,0,0
"OR",201604,30,30026721552819,"PU",2,3,0,0,0,0,0,2299093142,0,0
"OR",201604,30,30026721552819,"PU",3,1,0,0,0,0,0,1708373586,0,0
"OR",201604,30,30026721552819,"PU",3,2,0,0,0,0,0,1222039698,0,0
"OR",201604,30,30026721552819,"PU",3,3,0,0,0,0,0,3093917921,0,0
"OR",201604,30,30026721552819,"PW",1,1,0,1e+06,11410346753,0,0,0,0,0
"OR",201604,30,30026721552819,"PW",1,3,0,0,14800684500,0,0,0,0,0
"OR",201604,30,30026721552819,"PW",2,1,0,0,0,0,0,1338015915,0,0
"OR",201604,30,30026721552819,"PW",2,2,0,0,0,0,0,1744682419,0,0
"OR",201604,30,30026721552819,"PW",2,3,0,0,0,0,0,13838549310,0,0
"OR",201604,30,30026721552819,"PW",3,1,0,0,0,0,0,4578122472,0,0
"OR",201604,30,30026721552819,"PW",3,2,0,0,0,0,0,4795923921,0,0
"OR",201604,30,30026721552819,"PW",3,3,0,0,0,0,0,21250547495,0,0
"OR",201604,30,30026721552819,"QN",1,1,3691828,0,0,0,0,0,0,0
"OR",201604,30,30026721552819,"QN",2,3,0,0,0,0,0,578504681,0,0
