"I06_PERIODO","INS_COD","E_Perm","E_Ext"
201604,"OR",11233,0
201604,"PP",462,5
201604,"PS",9758,561
201604,"PU",3580,215
201604,"PW",9322,218
201604,"QN",26,4
201604,"RO",1122,70
201604,"RR",116,5
201604,"SN",10978,420
201604,"SP",5808,21
201604,"SR",111,13
201604,"ST",24,0
201604,"SV",69,0
201604,"TP",1180,35
201604,"TR",1905,113
201604,"TS",31,0
201604,"TT",763,16
201604,"TU",218,48
201604,"TV",666,32
201604,"TW",74,0
201604,"UN",43,0
201604,"UP",63,0
201604,"SOU",2730,29
201605,"OR",11226,0
201605,"PP",462,9
201605,"PS",9805,393
201605,"PU",3578,218
201605,"PW",9352,213
201605,"QN",26,4
201605,"RO",1123,68
201605,"RR",115,5
201605,"SN",10883,479
201605,"SP",5768,21
201605,"SR",111,11
201605,"ST",24,0
201605,"SV",70,0
201605,"TP",1185,36
201605,"TR",1909,123
201605,"TS",31,0
201605,"TT",770,14
201605,"TU",218,44
201605,"TV",674,32
201605,"TW",64,0
201605,"UN",43,0
201605,"UP",63,0
201605,"SOU",2712,29
201606,"OR",11228,0
201606,"PP",461,4
201606,"PS",9863,426
201606,"PU",3586,225
201606,"PW",9369,208
201606,"QN",26,4
201606,"RO",1119,69
201606,"RR",115,4
201606,"SN",10954,440
201606,"SP",5719,21
201606,"SR",112,11
201606,"ST",22,0
201606,"SV",66,0
201606,"TP",1199,37
201606,"TR",2011,144
201606,"TS",28,0
201606,"TT",782,13
201606,"TU",218,40
201606,"TV",687,32
201606,"TW",64,0
201606,"UN",42,0
201606,"UP",65,0
201606,"UQ",35,0
201606,"SOU",2672,29
201607,"OR",11247,0
201607,"PP",465,5
201607,"PS",9896,616
201607,"PU",3600,251
201607,"PW",9366,208
201607,"QN",26,4
201607,"RO",1134,75
201607,"RR",113,5
201607,"SN",11004,460
201607,"SP",5702,21
201607,"SR",111,11
201607,"ST",22,0
201607,"SV",66,0
201607,"TP",1210,39
201607,"TR",2007,201
201607,"TS",17,0
201607,"TT",758,11
201607,"TU",217,40
201607,"TV",681,32
201607,"TW",53,0
201607,"UN",39,0
201607,"UP",65,0
201607,"UQ",34,1
201607,"SOU",2656,29
201608,"OR",11300,0
201608,"PP",458,3
201608,"PS",9887,531
201608,"PU",3620,191
201608,"PW",9329,208
201608,"QN",26,4
201608,"RO",1129,70
201608,"RR",105,7
201608,"SN",10973,417
201608,"SP",5948,21
201608,"SR",111,11
201608,"ST",22,0
201608,"SV",70,0
201608,"TP",1213,34
201608,"TR",1939,157
201608,"TS",15,0
201608,"TT",768,10
201608,"TU",216,39
201608,"TV",682,32
201608,"TW",42,0
201608,"UN",39,0
201608,"UP",66,0
201608,"UQ",32,1
201608,"SOU",2654,29
201609,"OR",11281,0
201609,"PP",455,2
201609,"PS",9953,574
201609,"PU",3624,201
201609,"PW",9303,201
201609,"QN",26,4
201609,"RO",1145,71
201609,"RR",105,6
201609,"SN",10860,352
201609,"SP",5694,21
201609,"SR",110,11
201609,"ST",22,0
201609,"SV",69,0
201609,"TP",1207,34
201609,"TR",1928,176
201609,"TT",775,8
201609,"TU",216,32
201609,"TV",727,32
201609,"TW",37,0
201609,"UN",39,0
201609,"UP",66,0
201609,"UQ",33,1
201609,"SOU",2662,29
201610,"OR",11234,0
201610,"PP",461,1
201610,"PS",9947,575
201610,"PU",3594,192
201610,"PW",9255,201
201610,"QN",26,4
201610,"RO",1145,71
201610,"RR",106,5
201610,"SN",10718,371
201610,"SP",5686,21
201610,"SR",108,11
201610,"ST",23,0
201610,"SV",67,0
201610,"TP",1176,34
201610,"TR",1919,190
201610,"TT",770,7
201610,"TU",195,34
