"INS_COD","PERIODO","CODIGO","MONTO_TOTAL"
"TP",201607,"C_5001000",451708647685
"PNTQ",201607,"C_5001000",1075116239116
"PNTQ",201607,"C_1304400",0
"PNTQ",201607,"C_1304500",1840033526
"PNTQ",201607,"C_1600102",3873211844
"PNTQ",201607,"C_2100000",352214934404
"PNTQ",201607,"C_2100100",289525629399
"PNTQ",201607,"C_2301000",55689774735
"PNTQ",201607,"C_2500000",9943027244
"PNTQ",201607,"C_1304102",0
"PNTQ",201607,"C_1305900",690728070
"PNTQ",201607,"C_1400100",51673046674
"PNTQ",201607,"C_1360100",0
"PNTQ",201607,"C_2302000",855138042684
"PNTQ",201607,"C_1302100",2987528254135
"PNTQ",201607,"C_1304200",54207497287
"PNTQ",201607,"C_2160000",127140589902
"PNTQ",201607,"C_3101000",1013532941238
"PNTQ",201607,"C_1600210",-8929687393
"PNTQ",201607,"C_1360000",6143089667
"TP",201607,"C_1000000",5524092332111
"TP",201607,"C_1302000",3293998453033
"TP",201607,"C_1302100",2746464712139
"TP",201607,"C_1302200",187746344493
"TP",201607,"C_1304000",567309645945
"TP",201607,"C_1304100",5350121333
"TP",201607,"C_1304102",0
"TP",201607,"C_1304200",106109112460
"TP",201607,"C_1304400",0
"TP",201607,"C_1304500",455844084703
"TP",201607,"C_1305000",367567447623
"TP",201607,"C_1305100",226778004504
"TP",201607,"C_1305300",62872299921
"TP",201607,"C_1305400",77915556857
"TP",201607,"C_1305900",0
"TP",201607,"C_1350000",457334171520
"TP",201607,"C_1350100",155214279014
"TP",201607,"C_1360000",0
"TP",201607,"C_1360100",0
"TP",201607,"C_1400000",84245841667
"TP",201607,"C_1400100",83110235630
"SP",201608,"C_1000000",22238308955805
"SP",201608,"C_1302000",11431368802944
"SP",201608,"C_1302100",8891157530595
"SP",201608,"C_1302200",938686318262
"SP",201608,"C_2100000",2084664245640
"SP",201608,"C_2100100",1708328678772
"SP",201608,"C_2100200",129889525019
"SP",201608,"C_2160000",245420719268
"SP",201608,"C_2160100",0
"SP",201608,"C_2160200",245420719268
"SP",201608,"C_2200000",8803880345732
"SP",201608,"C_2200100",8794894370504
"SP",201608,"C_2200200",8582423716
"SP",201608,"C_2301000",0
"SP",201608,"C_2302000",1328677487107
"SP",201608,"C_2402000",4653393548122
"SP",201608,"C_2500000",27859640963
"SP",201608,"C_2800000",178544383775
"SP",201608,"C_2800060",114185568
"SP",201608,"C_3101000",1862826231184
"SP",201608,"C_3101001",1862826231184
"SP",201608,"C_3102000",1294107566011
"SP",201608,"C_5001000",3184819706086
"SP",201606,"C_2800000",392977590768
"SP",201606,"C_2800060",114185568
"SP",201606,"C_3101000",1862826231184
"SP",201606,"C_3101001",1862826231184
"SP",201606,"C_3102000",1294107566010
"SP",201606,"C_5001000",3184670158192
"PNQV",201605,"C_2402000",0
"PNQV",201605,"C_1304102",0
"PNQV",201605,"C_1350000",18012217914
"PNQV",201605,"C_1360100",0
"PNQV",201605,"C_1600201",611006762
"PNQV",201605,"C_2100200",1419740714
"PNQV",201605,"C_2160000",0
"PNQV",201605,"C_2160100",0
"PNQV",201605,"C_2200100",29915333095
"PNQV",201605,"C_2500000",0
"PNQV",201605,"C_1305300",0
"PNQV",201605,"C_2200000",29917433095
"PNQV",201605,"C_2200200",0
"PNQW",201605,"C_1302000",1830735278114
"PNQW",201605,"C_1302100",1549777316018
"PNQW",201605,"C_1302200",175697358262
"PNQW",201605,"C_1305900",0
"PNQW",201605,"C_2800060",77413350
"PNTQ",201607,"C_1302200",328616738356
"PNTQ",201607,"C_1305400",906828570
"PNTQ",201607,"C_1600101",23188009982
"PNTQ",201607,"C_1600110",-5408416731
"PNTQ",201607,"C_2100200",19730803450
"PNTQ",201607,"C_2200000",3232598389783
"PNTQ",201607,"C_1302000",3581550324987
"PNTQ",201607,"C_2800000",48326554950
"PNTQ",201607,"C_2800060",0
"PNTQ",201607,"C_3101001",1013532941238
"PNTQ",201607,"C_1304000",95715789196
"PNTQ",201607,"C_1304100",17325211916
"PNTQ",201607,"C_1305000",74530510171
"PNTQ",201607,"C_1305300",1105214454
"PNTQ",201607,"C_1350000",1508782132817
"PNTQ",201607,"C_1600202",9925198578
"PNTQ",201607,"C_2160100",0
"PNTQ",201607,"C_2160200",127140589902
"PNTQ",201607,"C_2200100",3230982224981
"PNTQ",201607,"C_2200200",649098126
"PNTQ",201607,"C_3102000",46708570853
"PNTQ",201607,"C_1305100",71775833842
"PNTQ",201607,"C_1400000",52626153445
"PNTQ",201607,"C_1600000",28190090165
"PNTQ",201607,"C_2402000",615516497011
"WRN",201604,"C_1000000",7846859315213
"SV",201607,"C_1304000",0
"SV",201607,"C_1304100",0
"SV",201607,"C_1304102",0
"SV",201607,"C_1304200",0
"SV",201607,"C_1304400",0
"SV",201607,"C_1304500",0
"SV",201607,"C_1305000",0
"SV",201607,"C_1305100",0
"SV",201607,"C_1305300",0
"SV",201607,"C_1305400",0
"SV",201607,"C_1305900",0
"SV",201607,"C_1350000",10762402393
"SV",201607,"C_1350100",0
"SV",201607,"C_1400000",0
"SV",201607,"C_1400100",0
"SV",201607,"C_1600000",312853526
"SV",201607,"C_1600101",0
"SV",201607,"C_1600102",303673844
"SV",201607,"C_1600110",-196976422
"SV",201607,"C_1600201",496622223
"SV",201607,"C_1600202",73653429
"SV",201607,"C_1600210",-364119548
"SV",201607,"C_2100000",93242352426
"SV",201607,"C_2100100",90081824158
"SV",201607,"C_2100200",1841523562
"SV",201607,"C_2160000",0
"SV",201607,"C_2160100",0
"SV",201607,"C_2160200",0
"SV",201607,"C_2200000",8831475496
"SV",201607,"C_2200100",8831475496
"SV",201607,"C_2200200",0
"SV",201607,"C_2301000",0
"SV",201607,"C_1360000",0
"SV",201607,"C_1360100",0
"SV",201607,"C_2302000",0
"SV",201607,"C_2402000",0
"SV",201607,"C_2500000",0
"QNU",201604,"C_1302000",0
"QNU",201604,"C_1302100",0
"QNU",201604,"C_1302200",0
"QNU",201604,"C_1304000",0
"QNU",201604,"C_1304100",0
"QNU",201604,"C_1304102",0
"QNU",201604,"C_1304200",0
"QNU",201604,"C_1304400",0
"QNU",201604,"C_1304500",0
"QNU",201604,"C_1305000",679314031434
"QNU",201604,"C_1305100",171288242564
"QNU",201604,"C_1305300",0
"QNU",201604,"C_1305400",508025788870
"QNU",201604,"C_1305900",0
"QNU",201604,"C_1350000",0
"QNU",201604,"C_1350100",0
"QNU",201604,"C_1360000",0
"QNU",201604,"C_1360100",0
"QNU",201604,"C_1400000",0
"QNU",201604,"C_1400100",0
"QNU",201604,"C_1600000",1658269871
"QNU",201604,"C_1600101",152043818
"QNU",201604,"C_1600102",1933630830
"QNU",201604,"C_1600110",-1597764110
"QNU",201604,"C_1600201",3051042589
"QNU",201604,"C_1600202",0
"QNU",201604,"C_1600210",-1880683256
"QNU",201604,"C_2100000",8820656972
"QNU",201604,"C_2100100",0
"QNU",201604,"C_2100200",0
"QNU",201604,"C_2160000",0
"QNU",201604,"C_2160100",0
"QNU",201604,"C_2160200",0
"QNU",201604,"C_2200000",0
"QNU",201604,"C_2200100",0
"QNU",201604,"C_2200200",0
"QNU",201604,"C_2301000",511755784932
"QNU",201604,"C_2302000",0
"QNU",201604,"C_2402000",0
"QNU",201604,"C_2500000",25779351716
"QNU",201604,"C_2800000",42485220028
"QNU",201604,"C_2800060",0
"QNU",201604,"C_3101000",63248041401
"QNU",201604,"C_3101001",63248041401
"QNU",201604,"C_3102000",0
"QNU",201604,"C_5001000",127415018740
"TR",201604,"C_1302000",132744850602
"TR",201604,"C_1302100",6058419819
"TR",201604,"C_1302200",0
"TR",201604,"C_1304000",421901064527
"TR",201604,"C_1304100",106669931729
"TR",201604,"C_1304102",0
"TR",201604,"C_1304200",67022902390
"TR",201604,"C_1304400",0
"TR",201604,"C_1304500",225509166132
"TR",201604,"C_1305000",903845704970
"TR",201604,"C_1305100",854338949476
"TR",201604,"C_1305300",34637974370
"TR",201604,"C_1305400",14868781124
"TR",201604,"C_1305900",0
"TR",201604,"C_1350000",385729847481
"TR",201604,"C_1350100",119069588110
"TR",201604,"C_1360000",0
"TR",201604,"C_1360100",0
"TR",201604,"C_1400000",1874351767
"TR",201604,"C_1400100",1645440228
"TR",201604,"C_1600000",14418255825
"TR",201604,"C_1600101",0
"TR",201604,"C_1600102",16272610887
"TR",201604,"C_1600110",-6605423192
"TR",201604,"C_1600201",15638219869
"TR",201604,"C_1600202",856755735
"TR",201604,"C_1600210",-11743907474
"TR",201604,"C_2100000",296481473313
"TR",201604,"C_2100100",198568059966
"TR",201604,"C_2100200",73638327362
"TR",201604,"C_2160000",0
"TR",201604,"C_2160100",0
"TR",201604,"C_2160200",0
"TR",201604,"C_2200000",1097971646116
"TR",201604,"C_2200100",745979642805
"TR",201604,"C_2200200",52664756862
"SV",201607,"C_1000000",163729893170
"SV",201607,"C_1302000",40380897760
"SV",201607,"C_1302100",29111927516
"SV",201607,"C_1302200",11268970244
"WRN",201604,"C_2301000",0
"WRN",201604,"C_2302000",430433241736
"WRN",201604,"C_2402000",403952455813
"WRN",201604,"C_2500000",2112418041
"WRN",201604,"C_2800000",53874593254
"WRN",201604,"C_2800060",198066927
"WRN",201604,"C_3101000",91558303107
"WRN",201604,"C_3101001",91558303107
"WRN",201604,"C_3102000",673177568222
"WRN",201604,"C_5001000",768029937405
"PNQW",201605,"C_1304500",0
"PNQW",201605,"C_1305400",0
"PNQW",201605,"C_1360000",0
"PNQW",201605,"C_1600202",8132564235
"PNQW",201605,"C_1600210",-5312968040
"PNQW",201605,"C_2100100",177243242067
"PNQW",201605,"C_3101001",689006223142
"PNQW",201605,"C_1304200",52765960349
"PNQW",201605,"C_1305000",69427001563
"PNQW",201605,"C_1305100",69258766971
"PNQW",201605,"C_1600000",11089578107
"PNQW",201605,"C_1600102",0
"PNQW",201605,"C_2100000",234727310644
"PNQW",201605,"C_2160200",204905044133
"PNQW",201605,"C_2302000",77208825803
"PNQW",201605,"C_3101000",689006223142
"PNQW",201605,"C_1000000",4488669619812
"PNQW",201605,"C_1400100",48666931902
"PNQW",201605,"C_2800000",19884246452
"PNQW",201605,"C_3102000",-3770606721
"PNQW",201605,"C_1304100",0
"PNQW",201605,"C_1304400",0
"PNQW",201605,"C_1350100",567700467391
"PNQW",201605,"C_1600101",5054550560
"PNQW",201605,"C_1600110",-514618767
"SV",201611,"C_2402000",0
"SV",201611,"C_2500000",0
"SV",201611,"C_2800000",828630770
"SV",201611,"C_2800060",0
"SV",201611,"C_3101000",49364972341
"SV",201611,"C_3101001",49364972341
"SV",201611,"C_3102000",7949274563
"SV",201611,"C_5001000",56895552313
"TU",201610,"C_1000000",820153735420
"SV",201611,"C_2302000",0
"TU",201610,"C_1302000",744377300862
"TU",201610,"C_1302100",668771771399
"TU",201610,"C_1302200",75303748461
"TU",201610,"C_1304000",0
"WRN",201604,"C_1302000",3646973296127
"WRN",201604,"C_1302100",3045229540144
"WRN",201604,"C_1302200",0
"WRN",201604,"C_1304000",517017056273
"WRN",201604,"C_1304100",0
"WRN",201604,"C_1304102",0
"WRN",201604,"C_1304200",0
"WRN",201604,"C_1304400",0
"WRN",201604,"C_1304500",230055088573
"WRN",201604,"C_1305000",1150347044891
"WRN",201604,"C_1305100",894367083064
"WRN",201604,"C_1305300",4327926847
"WRN",201604,"C_1305400",141003782700
"WRN",201604,"C_1305900",92526252508
"SN",201604,"C_1000000",34583834648304
"SN",201604,"C_1302000",13449119282009
"SN",201604,"C_1302100",9151732553270
"SN",201604,"C_1302200",2086764252078
"SN",201604,"C_1304000",8186797602350
"SN",201604,"C_1304100",40113030590
"SN",201604,"C_1304102",0
"SN",201604,"C_1304200",23356238751
"SN",201604,"C_1304400",104386726440
"SN",201604,"C_1304500",8015918690202
"SN",201604,"C_1305000",4207385656269
"SN",201604,"C_1305100",2511424449333
"SN",201604,"C_1305300",249387789518
"SN",201604,"C_1305400",1440299482900
"SN",201604,"C_1305900",1016093979
"SN",201604,"C_1350000",2495218160209
"SN",201604,"C_1350100",769135364603
"SN",201604,"C_1360000",0
"SN",201604,"C_1360100",0
"QNU",201604,"C_1000000",739233624798
"TR",201604,"C_1000000",2133551543622
"TR",201604,"C_2301000",0
"TR",201604,"C_2302000",0
"TR",201604,"C_2402000",245035555843
"TR",201604,"C_2500000",49879561512
"TR",201604,"C_2800000",51046260567
"TR",201604,"C_2800060",32333377224
"TR",201604,"C_3101000",35285502005
"TR",201604,"C_3101001",35285502005
"TR",201604,"C_3102000",140752813160
"TR",201604,"C_5001000",188316662713
"SV",201604,"C_1000000",170404468003
"SV",201604,"C_1302000",44481642905
"SV",201604,"C_1302100",28105013522
"SV",201604,"C_1302200",16376629383
"SV",201604,"C_1304000",0
"SV",201604,"C_1304100",0
"SV",201604,"C_1304102",0
"SV",201604,"C_1304200",0
"SV",201604,"C_1304400",0
"SV",201604,"C_1304500",0
"SV",201604,"C_1305000",0
"SV",201604,"C_1305100",0
"SV",201604,"C_1305300",0
"SV",201604,"C_1305400",0
"SV",201604,"C_1305900",0
"SV",201604,"C_1350000",14998311619
"SV",201604,"C_1350100",0
"SV",201604,"C_1360000",0
"SV",201604,"C_1360100",0
"SV",201604,"C_1400000",0
"SV",201604,"C_1400100",0
"SN",201604,"C_1400000",148201163884
"SN",201604,"C_1400100",148064686812
"SN",201604,"C_1600000",214846561370
"SN",201604,"C_1600101",165942004113
"SN",201604,"C_1600102",53036633434
"SN",201604,"C_1600110",-71892471764
"SN",201604,"C_1600201",120328133868
"SN",201604,"C_1600202",45264581733
"SN",201604,"C_1600210",-97832320014
"SN",201604,"C_2100000",7531112244971
"SN",201604,"C_2100100",5984669922200
"SN",201604,"C_2100200",530538864838
"SN",201604,"C_2160000",126639610675
"SN",201604,"C_2160100",0
"SN",201604,"C_2160200",126639610675
"SN",201604,"C_2200000",12300360288776
"SN",201604,"C_2200100",12181537395449
"SN",201604,"C_2200200",115365779834
"SN",201604,"C_2301000",230022361106
"SN",201604,"C_2302000",1307629700261
"SN",201604,"C_2402000",5987968020647
"SN",201604,"C_2500000",205712459748
"SN",201604,"C_2800000",746599666773
"SN",201604,"C_2800060",0
"SN",201604,"C_3101000",891302881691
"SN",201604,"C_3101001",891302881691
"SN",201604,"C_3102000",1640112937992
"SN",201604,"C_5001000",2653068141043
"PNQR",201604,"C_2100000",1515965805403
"PNQR",201604,"C_2100100",1278548297756
"PNQR",201604,"C_2160100",0
"PNQR",201604,"C_2200000",5202522929627
"PNQR",201604,"C_3102000",30716658845
"PNQR",201604,"C_1000000",10841740746630
"PNQR",201604,"C_1305000",492343034905
"PNQR",201604,"C_2301000",0
"PNQR",201604,"C_1302000",6424926205318
"PNQR",201604,"C_1600102",6250881202
"PNQR",201604,"C_1600110",-15552312067
"PNQR",201604,"C_2402000",2374775396425
"PNQR",201604,"C_1350000",877267852947
"PNQR",201604,"C_1350100",447509884057
"PNQR",201604,"C_1600201",25474314166
"PNRN",201607,"C_1600201",2020017205
"PNRN",201607,"C_5001000",278114594439
"PNRN",201607,"C_1304400",0
"PNRN",201607,"C_1304500",0
"PNRN",201607,"C_1600102",4297965533
"PNRN",201607,"C_2100000",9059394396
"PNRN",201607,"C_2100100",8406263388
"PNRN",201607,"C_2301000",0
"PNRN",201607,"C_2500000",0
"PNRN",201607,"C_1302100",0
"PNRN",201607,"C_1304102",0
"PNRN",201607,"C_1305900",0
"PNRN",201607,"C_1360100",0
"PNRN",201607,"C_1400100",0
"PNRN",201607,"C_2302000",0
"PNRN",201607,"C_1304200",0
"PNRN",201607,"C_2160000",0
"PNRN",201607,"C_3101000",74064165503
"PNRN",201607,"C_1302200",0
"PNRN",201607,"C_1360000",0
"PNRN",201607,"C_1600210",-2215428380
"SP",201608,"C_1304000",3315670742453
"SP",201608,"C_1304100",61731017410
"SP",201608,"C_1304102",4902941683
"SP",201608,"C_1304200",157884878663
"SP",201608,"C_1304400",0
"SP",201608,"C_1304500",3065772985280
"SP",201608,"C_1305000",1298148872458
"SP",201608,"C_1305100",848375170796
"SP",201608,"C_1305300",166948341586
"SP",201608,"C_1305400",281885704276
"SP",201608,"C_1305900",55522521
"SP",201608,"C_1350000",774450966806
"SP",201608,"C_1350100",690138006782
"SP",201608,"C_1360000",3543357603
"SP",201608,"C_1360100",0
"SP",201608,"C_1400000",715657846010
"SP",201608,"C_1400100",709386431253
"SP",201608,"C_1600000",74855369570
"SP",201608,"C_1600101",30480550146
"SP",201608,"C_1600102",31413441613
"SP",201608,"C_1600110",-12730357340
"SP",201608,"C_1600201",18872266886
"SP",201608,"C_1600202",21109855790
"SP",201608,"C_1600210",-14290387525
"TU",201607,"C_1350000",86516297474
"TU",201607,"C_1350100",86047050654
"TU",201607,"C_1360000",0
"TU",201607,"C_1360100",0
"TU",201607,"C_1400000",14137594
"TU",201607,"C_1400100",0
"TU",201607,"C_1600000",4466852657
"TU",201607,"C_1600101",4232800708
"TU",201607,"C_1600102",536693161
"TU",201607,"C_1600110",-1067407939
"TU",201607,"C_1600201",2506691814
"TU",201607,"C_1600202",482164285
"TU",201607,"C_1600210",-2224089372
"TU",201607,"C_2100000",31774337294
"TU",201607,"C_2100100",30797833356
"TU",201607,"C_2100200",3024546
"TU",201607,"C_2160000",0
"TU",201607,"C_2160100",0
"TU",201607,"C_2160200",0
"TU",201607,"C_2200000",0
"TU",201607,"C_2200100",0
"TU",201607,"C_2200200",0
"TU",201607,"C_2301000",0
"TU",201607,"C_2302000",724207509163
"TP",201607,"C_1600000",24006113757
"TP",201607,"C_1600101",18809737345
"TP",201607,"C_1600102",0
"TP",201607,"C_1600110",-2885297755
"TP",201607,"C_1600201",7356785400
"TP",201607,"C_1600202",15103934010
"TP",201607,"C_1600210",-14379045243
"TP",201607,"C_2100000",568669240803
"TP",201607,"C_2100100",468134167216
"TP",201607,"C_2100200",40398514060
"TP",201607,"C_2160000",284047333
"TP",201607,"C_2160100",0
"TP",201607,"C_2160200",284047333
"TP",201607,"C_2200000",2656373135181
"TP",201607,"C_2200100",2656373135181
"TP",201607,"C_2200200",0
"TP",201607,"C_2301000",0
"TP",201607,"C_2302000",127433922370
"TP",201607,"C_2402000",1458771201347
"TP",201607,"C_2500000",19933525414
"TP",201607,"C_2800000",37474651135
"TP",201607,"C_2800060",30705835
"TP",201607,"C_3101000",252046740285
"TP",201607,"C_3101001",252046740285
"TP",201607,"C_3102000",24709826177
"QNO",201605,"C_1305900",0
"QNO",201605,"C_1350000",0
"QNO",201605,"C_1350100",0
"QNO",201605,"C_1360000",0
"QNO",201605,"C_1360100",0
"QNO",201605,"C_1400000",0
"QNO",201605,"C_1400100",0
"QNO",201605,"C_1600000",127153920
"QNO",201605,"C_1600101",0
"QNO",201605,"C_1600102",12
"QNO",201605,"C_1600110",0
"QNO",201605,"C_1600201",33007908
"QNO",201605,"C_1600202",94146000
"QNO",201605,"C_1600210",0
"QNO",201605,"C_2100000",423094290
"QNO",201605,"C_2100100",0
"QNO",201605,"C_2100200",0
"QNO",201605,"C_2160000",0
"QNO",201605,"C_2160100",0
"QNO",201605,"C_2160200",0
"QNO",201605,"C_2200000",0
"QNO",201605,"C_2200100",0
"QNO",201605,"C_2200200",0
"QNO",201605,"C_2301000",10745104456
"QNO",201605,"C_2302000",0
"QNO",201605,"C_2402000",0
"QNO",201605,"C_2500000",554160934
